,acc,gen_en,gen_fr,gen_ru,gen_he,gen_ar,gen_es,gen_it,loc_en,loc_fr,loc_ru,loc_he,loc_ar,loc_es,loc_it
en,EM:57.25 / F1:61.59,EM:31.88 / F1:43.88,EM:33.33 / F1:42.99,EM:0.48 / F1:0.48,EM:0.0 / F1:0.85,EM:3.65 / F1:4.06,EM:30.68 / F1:44.09,EM:34.54 / F1:40.55,EM:84.78 / F1:85.27,EM:83.33 / F1:83.33,EM:95.65 / F1:95.65,EM:97.81 / F1:97.81,EM:87.59 / F1:89.05,EM:87.68 / F1:87.68,EM:86.23 / F1:86.23
fr,EM:37.6 / F1:40.69,EM:22.93 / F1:27.3,EM:22.0 / F1:30.95,EM:0.27 / F1:0.27,EM:0.0 / F1:0.27,EM:2.15 / F1:4.18,EM:21.6 / F1:26.83,EM:19.73 / F1:22.97,EM:83.2 / F1:84.8,EM:80.0 / F1:80.53,EM:91.94 / F1:91.94,EM:98.4 / F1:98.4,EM:87.9 / F1:91.53,EM:91.2 / F1:91.2,EM:84.0 / F1:84.53
ru,EM:2.91 / F1:2.91,EM:0.65 / F1:0.78,EM:0.32 / F1:0.81,EM:1.94 / F1:2.27,EM:0.0 / F1:0.81,EM:1.29 / F1:3.59,EM:0.0 / F1:0.72,EM:0.32 / F1:0.45,EM:93.2 / F1:93.2,EM:88.35 / F1:88.35,EM:72.82 / F1:72.82,EM:91.26 / F1:91.26,EM:92.23 / F1:95.15,EM:97.09 / F1:97.09,EM:92.23 / F1:92.23
he,EM:0.96 / F1:0.96,EM:0.32 / F1:0.32,EM:0.0 / F1:0.13,EM:0.32 / F1:0.32,EM:0.48 / F1:0.48,EM:0.96 / F1:2.88,EM:0.0 / F1:0.38,EM:0.0 / F1:0.0,EM:96.15 / F1:96.79,EM:99.04 / F1:99.04,EM:89.42 / F1:89.42,EM:57.69 / F1:58.65,EM:91.35 / F1:92.31,EM:97.12 / F1:97.12,EM:88.46 / F1:88.46
ar,EM:17.5 / F1:22.45,EM:1.39 / F1:1.5,EM:1.11 / F1:1.58,EM:0.28 / F1:0.46,EM:0.56 / F1:1.81,EM:7.08 / F1:14.38,EM:1.39 / F1:1.9,EM:0.83 / F1:1.17,EM:88.33 / F1:88.33,EM:87.5 / F1:88.06,EM:88.33 / F1:88.33,EM:100.0 / F1:100.0,EM:81.67 / F1:82.5,EM:95.83 / F1:95.83,EM:96.67 / F1:96.67
es,EM:42.02 / F1:46.27,EM:20.73 / F1:26.67,EM:23.81 / F1:29.4,EM:1.4 / F1:1.59,EM:0.84 / F1:0.98,EM:3.08 / F1:4.62,EM:32.35 / F1:42.04,EM:16.53 / F1:20.36,EM:78.99 / F1:80.67,EM:89.92 / F1:90.48,EM:94.12 / F1:94.12,EM:99.16 / F1:99.16,EM:92.44 / F1:93.7,EM:93.28 / F1:93.28,EM:88.24 / F1:88.24
it,EM:36.26 / F1:38.28,EM:18.32 / F1:23.74,EM:19.78 / F1:27.35,EM:0.37 / F1:0.61,EM:0.37 / F1:0.37,EM:0.74 / F1:3.15,EM:12.82 / F1:23.93,EM:21.98 / F1:28.58,EM:80.22 / F1:80.95,EM:86.81 / F1:87.55,EM:96.7 / F1:96.7,EM:98.9 / F1:98.9,EM:88.89 / F1:89.44,EM:94.51 / F1:94.51,EM:84.62 / F1:84.62
